"weekday","hour","useragent","region","city","adexchange","domain","slotid","slotwidth","slotheight","slotvisibility","slotformat","slotprice","creative","keypage","click"
"6","14","windows_ie","238","239","1","trqRTvpogNlyDok4JKTI","mm_10032051_2374052_9219530","950","90","1","1","0","c938195f9e404b4f38c7e71bf50263e5","a3becb967c015e9acb5e72f22b100ef8","0"
"0","12","windows_ie","216","234","3","eb6cf22883534275b3c9b6af2307e28d","ALLINONE_F_Pop","300","250","Na","Na","70","7323","null","0"
"4","16","android_safari","94","101",,"null","1","320","50","FirstView","Na","6","11908","null","0"
"2","14","windows_chrome","216","219","2","60d6944b04dd4efa34e5af2a6ee39d43","1888584995","728","90","FirstView","Na","5","7330","null","0"
"1","3","windows_chrome","216","224","3","dd4270481b753dde29898e27c7c03920","Ent_F_Upright","300","250","Na","Na","50","7323","null","0"
"5","7","windows_ie","94","97","2","trqRTuTEB9K71mKYUV","443702222","728","90","1","0","5","48f2e9ba15708c0146bda5e1dd653caa","bebefa5efe83beee17a3d245e7c5085b","0"
"5","16","windows_chrome","124","126","2","abc5a8aaa90bafdd7d6b60683e6f7ed3","4254532549","300","250","OtherView","Na","5","10722","null","0"
"0","10","windows_ie","80","89","2","13625cb070ffb306b425cd803c4b7ab4","740576138","160","600","OtherView","Na","221","12613","null","0"
"2","14","windows_chrome","146","162","3","31xSTvprdN1RFt","ALLINONE_F_Width2","1000","90","0","0","50","86c2543527c86a893d4d4f68810a0416","43f4a37f42a7c5e6219e2601b26c6976","0"
"4","15","android_safari","2","2",,"ff6e1d6db6fd295a9ba8162f0b83fd79","1552040922","320","50","OtherView","Na","63","11908","null","0"
"5","11","windows_ie","94","101","2","a371ca82c897ab0dc29ae351002f3a22","2956299072","120","600","OtherView","Na","5","10723","null","0"
"6","16","windows_ie","276","277","2","trqRTvuyGQNW1m54","2980860638","336","280","2","0","5","ff5123fb9333ca095034c62fdaaf51aa","361e128affece850342293213691a043","0"
"1","23","windows_ie","146","147","2","e2a8c01e40dfc382ec4505b89e36a42","2343856657","728","90","OtherView","Na","5","10719","null","0"
"4","5","windows_ie","80","80","2","null","2379093424","300","250","2","0","5","449a22cd91d9042eda3d3a1b89a22ea8","0f951a030abdaedd733ee8d114ce2944","0"
"3","14","windows_chrome","55","56","3","Dr1NTvprdN1RFt","ALLINONE_F_Width1","1000","90","0","0","70","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"0","12","windows_chrome","15","15","3","31xSTvprdN1RFt","Ent_F_Width1","1000","90","0","0","70","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"1","11","windows_ie","216","217","3","31drTvprdN1RFt","ALLINONE_F_Width1","1000","90","0","0","70","86c2543527c86a893d4d4f68810a0416","43f4a37f42a7c5e6219e2601b26c6976","0"
"1","19","windows_chrome","3","6","4","ba09096603b937a5b5829693446e7f79","9223372032560773962","300","250","SecondView","Na","0","10722","null","0"
"0","22","android_safari","124","129",,"null","1","320","50","FirstView","Na","22","12987","null","0"
"6","19","windows_ie","55","61","2","trqRTvKaXTKfgg24JKTI","2015392487","200","200","1","0","5","82f125e356439d73902ae85e2be96777","361e128affece850342293213691a043","0"
"5","13","windows_ie","55","56","3","5F1RQS9rg5scFsf","News_F_Rectangle","300","250","0","0","80","44966cc8da1ed40c95d59e863c8c75f0","43f4a37f42a7c5e6219e2601b26c6976","0"
"4","14","windows_ie","1","1","3","5F1RQS9rg5scFsf","News_F_Width1","1000","90","0","0","80","0cd33fcb336655841d3e1441b915748d","c8758e8658b05bc3a88af7b37bdf0575","0"
"5","8","windows_chrome","146","149","2","16b0b4e98b15b9042345b99e42630484","664144000","300","250","OtherView","Na","4","12622","null","0"
"1","18","windows_chrome","201","202","4","6bb7a014f46cede4e87bad75def67c54","9223372032561031128","960","90","FirstView","Na","30","10717","null","0"
"5","16","windows_ie","216","219","2","736b664a908f401bfad1fd2f859c8636","1534189732","200","200","OtherView","Na","5","7319","null","0"
"1","14","windows_ie","216","217","1","408045890463bb216b49ca36ef97820","mm_11402872_1272384_7750345","728","90","FirstView","Na","0","7330","null","0"
"1","18","windows_ie","106","113","2","f46fd165e29be3996347d1f4357ceaf5","2485172306","160","600","OtherView","Na","5","12613","null","0"
"2","19","windows_chrome","124","133","1","trqRTuL9dN1r","mm_10052906_2483552_9508057","336","280","2","1","0","77819d3e0b3467fe5c7b16d68ad923a1","bebefa5efe83beee17a3d245e7c5085b","0"
"2","15","windows_ie","253","254","2","trqRTJn7O95I1mKYUV","1720123646","250","250","2","0","5","7097e4210dea4d69f07f0f5e4343529c","361e128affece850342293213691a043","0"
"5","14","windows_ie","1","1","4","abf71afb253e42ed5ccd7ccccdcb4d00","9223372032560113938","336","280","SecondView","Na","0","10720","null","0"
"3","20","windows_chrome","183","184","2","trqRTuMvjTN7X9KbuKz","127598132","728","90","0","0","133","48f2e9ba15708c0146bda5e1dd653caa","bebefa5efe83beee17a3d245e7c5085b","0"
"2","10","windows_ie","2","2","2","trqRTuSWOeL7gsz","1547894443","468","60","1","0","5","2f88fc9cf0141b5bbaf251cab07f4ce7","361e128affece850342293213691a043","0"
"5","16","windows_maxthon","216","233","1","20fc675468712705dbf5d3eda94126da","mm_10982364_973726_8930541","300","250","FourthView","Na","0","7323","null","0"
"2","11","windows_maxthon","216","222","2","39a372245be034a3df9530d83a97e8ad","2548764201","728","90","OtherView","Na","5","10719","null","0"
"6","15","windows_ie","146","147","1","DFpETuxoGQdcFNKbuKz","mm_10024662_3445902_11178345","336","280","2","1","0","77819d3e0b3467fe5c7b16d68ad923a1","bebefa5efe83beee17a3d245e7c5085b","0"
"3","2","windows_chrome","134","138","3","DD1SqS9rg5scFsf","Auto_F_Rectangle","300","250","0","0","50","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"5","12","windows_ie","308","309","1","51FNTudNBqsvjMmfvspENpn","mm_10012236_2810451_9855498","300","250","0","1","0","911b2d84826786018761e8c0b0a3a60c","d29e59bf0f7f8243858b8183f14d4412","0"
"5","11","windows_ie","94","99","2","trqRTus0MTN7XMq8UKnWNxup","27723215","728","90","1","0","5","59f065a795a663140e36eec106464524","f4a09c06b67d0fcce088ee6e86ca052a","0"
"6","20","windows_chrome","80","82","1","null","mm_25531301_2394807_11156363","728","90","0","1","0","4b724cd63dfb905ebcd54e64572c646d","b2e35064f3549d447edbbdfb1f707c8c","0"
"2","0","windows_chrome","216","219","1","k1xjTv1cQoq81m58uG","mm_30734321_2787575_10288767","336","280","255","1","0","dc0998c10f8f0b623b5d949e8272e4c7","d29e59bf0f7f8243858b8183f14d4412","0"
"6","22","windows_ie","216","217","2","null","3798717662","250","250","2","0","4","1a43f1ff53f48573803d4a3c31ebc163","b2e35064f3549d447edbbdfb1f707c8c","0"
"5","21","windows_ie","146","154","4","7cc2f10098cf6cef00e2c4bafae7b0a7","9223372032560462415","300","250","SecondView","Na","0","10722","null","0"
"2","18","windows_chrome","94","101","2","Dr1NG657G5sbFga4JKn","4000049139","300","250","0","0","32","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"3","22","windows_ie","216","217","2","null","2681872021","728","90","2","0","5","7184c9560e68e977187e67e45a4f3198","0f951a030abdaedd733ee8d114ce2944","0"
"4","11","windows_ie","276","277","3","5F1RQS9rg5scFsf","News_Width2","960","90","0","0","50","011c1a3d4d3f089a54f9b70a4c0a6eb3","43f4a37f42a7c5e6219e2601b26c6976","0"
"6","19","windows_ie","3","5","3","5F1RQS9rg5scFsf","News_F_Width1","1000","90","0","0","80","d01411218cc79bc49d2a4078c4093b76","b2e35064f3549d447edbbdfb1f707c8c","0"
"2","16","windows_ie","1","1","3","31xSTvprdN1RFt","ALLINONE_F_Width2","1000","90","0","0","50","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"6","23","windows_ie","216","217","2","null","3023395252","300","250","0","0","138","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"6","12","windows_ie","216","220","1","3e78232940cae121f4d5b39e61e133b","mm_12761813_2348728_9081202","300","250","Na","Na","0","7323","null","0"
"6","23","windows_ie","80","81","3","ersbQv1RdoTy1m58uG","ALLINONE_F_Width1","1000","90","0","0","70","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"0","0","windows_ie","216","216","1","trqRTvurjZL7gspy","mm_10012196_2209563_9384173","728","90","1","1","0","4ad7e35171a3d8de73bb862791575f2e","d29e59bf0f7f8243858b8183f14d4412","0"
"2","0","windows_ie","308","308","1","5F97t5E0BTK7XhNrUMpENpn","mm_10027070_118039_10308280","160","600","2","1","0","cb7c76e7784031272e37af8e7e9b062c","bebefa5efe83beee17a3d245e7c5085b","0"
"6","0","mac_safari","124","126","1","31xSTu1Jgqc7gspy","mm_26632216_3300745_10759412","300","250","2","1","0","911b2d84826786018761e8c0b0a3a60c","d29e59bf0f7f8243858b8183f14d4412","0"
"6","14","windows_ie","94","98","1","408045890463bb216b49ca36ef97820","mm_11402872_1272384_11045319","250","250","ThirdView","Na","0","12620","null","0"
"5","12","windows_ie","216","222","3","31xSTvprdN1RFt","Ent_F_bottom_Width","1000","90","0","0","20","c46090c887c257b61ab1fa11baee91d8","0f951a030abdaedd733ee8d114ce2944","0"
"3","21","windows_ie","40","52","3","31xSTvprdN1RFt","ALLINONE_F_Width2","1000","90","0","0","50","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"4","22","windows_ie","106","109","3","ersbQv1RdoTy1m58uG","ALLINONE_F_Width1","1000","90","0","0","70","d01411218cc79bc49d2a4078c4093b76","b2e35064f3549d447edbbdfb1f707c8c","0"
"0","11","windows_ie","106","116","3","5F1RQS9rg5scFsf","News_F_Width1","1000","90","0","0","80","86c2543527c86a893d4d4f68810a0416","43f4a37f42a7c5e6219e2601b26c6976","0"
"5","21","windows_ie","216","225","3","3FKElpuEMusyJqKbuKz","Fashion_F_Rectangle","300","250","0","0","50","a499988a822facd86dd0e8e4ffef8532","bebefa5efe83beee17a3d245e7c5085b","0"
"5","15","windows_ie","94","98","2","trqRTJl9gZL7gspy","302488008","336","280","2","0","5","ff5123fb9333ca095034c62fdaaf51aa","361e128affece850342293213691a043","0"
"5","20","windows_ie","276","278","2","trqRTJlIjoj7gspy","1442594471","728","90","1","0","5","4ad7e35171a3d8de73bb862791575f2e","d29e59bf0f7f8243858b8183f14d4412","0"
"5","12","windows_ie","0","0","2","trqRTJ5ogZL7FmMs","3876780663","728","90","1","0","5","7184c9560e68e977187e67e45a4f3198","0f951a030abdaedd733ee8d114ce2944","0"
"6","9","windows_ie","80","85","1","5F97t5E0BTK7XhNrUMpENpn","mm_10027070_118039_10308280","160","600","2","1","0","cb7c76e7784031272e37af8e7e9b062c","bebefa5efe83beee17a3d245e7c5085b","0"
"4","6","windows_ie","183","186","2","trqRTJkIXTz7gspy","3275265737","160","600","2","0","5","fe222c13e927077ad3ea087a92c0935c","d29e59bf0f7f8243858b8183f14d4412","0"
"5","19","mac_safari","2","2","1","eKFjTu1Jgqc7gspy","mm_26632216_3300745_10762414","728","90","1","1","0","b90c12ed2bd7950c6027bf9c6937c48a","361e128affece850342293213691a043","0"
"0","7","windows_chrome","1","1","3","5F1RQS9rg5scFsf","News_F_Width1","1000","90","0","0","80","c46090c887c257b61ab1fa11baee91d8","0f951a030abdaedd733ee8d114ce2944","0"
"6","16","windows_chrome","164","167","2","3S9-tyuoMNF8jdd4wsp6N6u7mZ8iYd56","3702400340","200","200","2","0","5","82f125e356439d73902ae85e2be96777","361e128affece850342293213691a043","0"
"1","9","windows_ie","183","190","2","tKFJeun0BouoXOl4JKTI","2247403976","728","90","2","0","5","59f065a795a663140e36eec106464524","f4a09c06b67d0fcce088ee6e86ca052a","0"
"0","18","windows_ie","183","184","1","DFpETuxoGQdcFNKbuKz","mm_10024662_3445902_11178345","336","280","2","1","0","f65c8bdb41e9015970bac52baa813239","9be83422522025c09a44593ecd1af8ca","0"
"4","11","windows_ie","3","13","1","DFpETuxoGQdcFNKbuKz","mm_10024662_3445902_11178345","336","280","2","1","0","ff5123fb9333ca095034c62fdaaf51aa","361e128affece850342293213691a043","0"
"5","17","windows_ie","298","299","1","trqRTummPvas1m58uG","mm_10058411_2865562_9929053","300","250","2","1","0","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"0","0","windows_ie","201","201","1","DFF4V19RQqsNgMb4uSFK","mm_10839307_2308336_8945041","950","90","0","1","0","d5cecca9a6cbd7a0a48110f1306b26d1","d29e59bf0f7f8243858b8183f14d4412","0"
"1","15","windows_chrome","238","239","3","dd4270481b753dde29898e27c7c03920","Ent_F_Width1","1000","90","Na","Na","70","12633","null","0"
"1","17","windows_chrome","216","216","2","fdae6842bdadadac7e1acebac6ca9fd9","652625647","250","250","OtherView","Na","5","7321","null","0"
"0","4","windows_ie","216","233","2","fdae6842bdadadac7e1acebac6ca9fd9","652625647","250","250","OtherView","Na","5","7321","null","0"
"4","18","windows_ie","146","150","2","e509adefb014fdf0d35ac978155a49b3","2519761103","300","250","OtherView","Na","4","12622","null","0"
"5","0","windows_ie","216","217","1","trqRTvFRLpscFU","mm_10027070_2459574_9659312","160","600","2","1","0","47905feeb59223468fb898b3c9ac024d","361e128affece850342293213691a043","0"
"1","16","windows_ie","80","84","2","trqRTvdaQ9s71m58uG","3676949545","728","90","2","0","5","b90c12ed2bd7950c6027bf9c6937c48a","361e128affece850342293213691a043","0"
"4","13","windows_ie","3","4","2","trqRTuMvjTN7X9KbuKz","149643029","300","250","0","0","103","d881a6c788e76c2c27ed1ef04f119544","d29e59bf0f7f8243858b8183f14d4412","0"
"6","20","windows_ie","2","2","3","ersbQv1RdoTy1m58uG","ALLINONE_F_Width1","1000","90","0","0","70","86c2543527c86a893d4d4f68810a0416","43f4a37f42a7c5e6219e2601b26c6976","0"
"2","16","windows_ie","80","86","1","DFpETuxoGQdcFNKbuKz","mm_10024662_3445902_11178345","336","280","2","1","0","77819d3e0b3467fe5c7b16d68ad923a1","bebefa5efe83beee17a3d245e7c5085b","0"
"4","23","windows_ie","146","152","3","f277989766a27b6322b51f99781b1287","discuz_19120195_002","300","250","Na","Na","20","10722","null","0"
"2","18","windows_chrome","276","297","4","b919970d4492b7a3aa28f74a4011bd","9223372032559980010","300","250","SecondView","Na","0","10722","null","0"
"5","18","windows_ie","275","275","1","trqRTvMJgIl7gsz","mm_32875384_3406520_10985748","300","250","1","1","0","00fccc64a1ee2809348509b7ac2a97a5","b2e35064f3549d447edbbdfb1f707c8c","0"
"0","2","windows_chrome","238","240","3","ersbQv1RdoTy1m58uG","ALLINONE_F_Width1","1000","90","0","0","70","0cd33fcb336655841d3e1441b915748d","c8758e8658b05bc3a88af7b37bdf0575","0"
"5","13","windows_ie","216","222","1","trqRTudoXZNbXNKbuKz","mm_21198005_2322954_9690184","300","250","255","1","0","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"4","11","windows_chrome","79","79","2","7560b8b6e890b3e6c74e5f501fcaecc0","1814980162","300","250","OtherView","Na","4","10722","null","0"
"3","0","windows_ie","216","217","1","tAL-GpsYdN1RFt","mm_37225416_3485591_11376750","300","250","0","1","0","911b2d84826786018761e8c0b0a3a60c","d29e59bf0f7f8243858b8183f14d4412","0"
"0","14","windows_ie","80","85","2","DSE-exuuX5scFsf4JKn","598190657","728","90","1","0","5","4ad7e35171a3d8de73bb862791575f2e","d29e59bf0f7f8243858b8183f14d4412","0"
"1","8","windows_chrome","393","393","1","trqRTu9wQecs1m58uG","mm_10065060_874976_11001321","300","250","1","1","0","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"4","2","windows_ie","393","393","4","60536846ca5540ccfeda8f34006b918e","9223372032561052446","960","90","FirstView","Na","0","10717","null","0"
"1","18","mac_safari","1","1","1","361ec4d456066efa11886a43ebf7f3f1","mm_10057964_2220060_9358628","300","250","OtherView","Na","0","10722","null","0"
"0","15","windows_ie","146","147","3","5F1RQS9rg5scFsf","ALLINONE_F_Width1","1000","90","0","0","70","86c2543527c86a893d4d4f68810a0416","43f4a37f42a7c5e6219e2601b26c6976","0"
"1","20","windows_ie","333","341","1","trqRTuNyjqKIJgB4JKTI","mm_32538462_3424141_11252014","300","250","0","1","0","44966cc8da1ed40c95d59e863c8c75f0","361e128affece850342293213691a043","0"
"4","8","windows_ie","80","85","3","5F1RQS9rg5scFsf","ALLINONE_F_Width1","1000","90","0","0","70","0cd33fcb336655841d3e1441b915748d","c8758e8658b05bc3a88af7b37bdf0575","0"
"0","15","windows_ie","15","17","2","trqRTJkIXTz7gspy","3275265737","160","600","2","0","5","6fb071c11134e5078c1184ef1370a110","0f951a030abdaedd733ee8d114ce2944","0"
"2","20","windows_chrome","65","66","3","3FKElpuEMusyJqKbuKz","ALLINONE_F_Width1","1000","90","0","0","70","c46090c887c257b61ab1fa11baee91d8","0f951a030abdaedd733ee8d114ce2944","0"
"1","22","windows_ie","0","0","1","trqRTud0BZqvXdp4wspWUvj","mm_23161846_2367586_10167726","300","250","0","1","0","911b2d84826786018761e8c0b0a3a60c","d29e59bf0f7f8243858b8183f14d4412","0"
"2","20","windows_ie","15","25","1","trqRTJkrGq5I1m58uG","mm_31876417_3102461_10429500","300","250","2","1","0","44966cc8da1ed40c95d59e863c8c75f0","361e128affece850342293213691a043","0"
"4","21","windows_chrome","146","149","1","trqRTvFoMNmIFY5SaMpENpn","mm_10029307_121417_10790029","336","280","2","1","0","77819d3e0b3467fe5c7b16d68ad923a1","bebefa5efe83beee17a3d245e7c5085b","0"
"3","13","windows_chrome","216","217","3","ersbQv1RdoTy1m58uG","Sports_NBA_Width1A","1000","90","0","0","70","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"2","9","windows_ie","253","254","4","600bcfebaae6ff7d59ed1094ce17933a","9223372032560315673","728","90","FirstView","Na","30","10719","null","0"
"4","23","windows_ie","238","240","2","trqRTvFoMNFrjMKE5Spr-P","2501698433","300","250","1","0","5","00fccc64a1ee2809348509b7ac2a97a5","b2e35064f3549d447edbbdfb1f707c8c","0"
"5","16","windows_chrome","183","192","2","trqRTuMvjTN7X9KbuKz","2483895242","160","600","0","0","140","fe222c13e927077ad3ea087a92c0935c","d29e59bf0f7f8243858b8183f14d4412","0"
"1","19","windows_ie","80","82","3","e96dd4d612a79976fd4155437b0be59a","QQlive_SP_HP_bottom_Width","980","90","Na","Na","20","12632","null","0"
"3","4","windows_ie","15","23","4","1164f4caea2d39bc9dcc8dd22bb0e5c8","9223372032560960619","960","90","FirstView","Na","0","10717","null","0"
"1","23","windows_other","79","79","3","31xSTvprdN1RFt","ALLINONE_F_Width2","1000","90","0","0","50","a10c31a8ff5f42930b4c34035e523886","d29e59bf0f7f8243858b8183f14d4412","0"
"0","15","windows_ie","40","41","3","3FKElpuEMusyJqKbuKz","Fashion_F_Width1","1000","90","0","0","20","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"5","18","windows_ie","79","79","1","DFpETuxoGQdcFNKbuKz","mm_10024662_3445902_11178345","336","280","2","1","0","f65c8bdb41e9015970bac52baa813239","9be83422522025c09a44593ecd1af8ca","0"
